ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.2625527836498761, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
18,4Sum,33.7%,Medium,0.2617553901051231, https://leetcode.com/problems/4sum
1139,Largest 1-Bordered Square,47.5%,Medium,0.26159729523649, https://leetcode.com/problems/largest-1-bordered-square
300,Longest Increasing Subsequence,42.6%,Medium,0.2599861420625236, https://leetcode.com/problems/longest-increasing-subsequence
508,Most Frequent Subtree Sum,57.9%,Medium,0.2586337656231758, https://leetcode.com/problems/most-frequent-subtree-sum
37,Sudoku Solver,43.6%,Hard,0.2578291093020998, https://leetcode.com/problems/sudoku-solver
632,Smallest Range Covering Elements from K Lists,52.4%,Hard,0.2574120081490246, https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
177,Nth Highest Salary,31.4%,Medium,0.2570885330999932, https://leetcode.com/problems/nth-highest-salary
683,K Empty Slots,35.6%,Hard,0.2570885330999932, https://leetcode.com/problems/k-empty-slots
315,Count of Smaller Numbers After Self,41.5%,Hard,0.2567607594720918, https://leetcode.com/problems/count-of-smaller-numbers-after-self
466,Count The Repetitions,28.2%,Hard,0.2561688067457042, https://leetcode.com/problems/count-the-repetitions
286,Walls and Gates,54.5%,Medium,0.2531417471996048, https://leetcode.com/problems/walls-and-gates
187,Repeated DNA Sequences,38.9%,Medium,0.2529118727100632, https://leetcode.com/problems/repeated-dna-sequences
48,Rotate Image,56.7%,Medium,0.2525907526405108, https://leetcode.com/problems/rotate-image
762,Prime Number of Set Bits in Binary Representation,63.2%,Easy,0.2477932978823272, https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation
96,Unique Binary Search Trees,52.9%,Medium,0.2475417165009522, https://leetcode.com/problems/unique-binary-search-trees
1066,Campus Bikes II,54.2%,Medium,0.2444533379009608, https://leetcode.com/problems/campus-bikes-ii
128,Longest Consecutive Sequence,45.1%,Hard,0.2429952081596171, https://leetcode.com/problems/longest-consecutive-sequence
153,Find Minimum in Rotated Sorted Array,45.1%,Medium,0.2404898782609614, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
775,Global and Local Inversions,42.1%,Medium,0.2392296890658341, https://leetcode.com/problems/global-and-local-inversions
120,Triangle,44.2%,Medium,0.2388752525806854, https://leetcode.com/problems/triangle
